"filename", "language", "C++", "JavaScript", "comment", "blank", "total"
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramArrow/diagramarrow.cpp", "C++", 97, 0, 1, 19, 117
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramArrow/diagramarrow.h", "C++", 36, 0, 1, 8, 45
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/basedblocksettings.cpp", "C++", 35, 0, 0, 16, 51
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/basedblocksettings.h", "C++", 27, 0, 0, 10, 37
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/basedblockwindow.cpp", "C++", 187, 0, 0, 32, 219
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/basedblockwindow.h", "C++", 54, 0, 0, 14, 68
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/diagramitembased.cpp", "C++", 98, 0, 0, 19, 117
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/BasedBlock/diagramitembased.h", "C++", 42, 0, 0, 8, 50
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/compositeblocksettings.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/compositeblocksettings.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/compositeblockwindow.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/compositeblockwindow.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/diagramitemcomposite.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/CompositeBlock/diagramitemcomposite.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/diagramitemsparql.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/diagramitemsparql.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/sparqlblocksettings.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/sparqlblocksettings.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/sparqlblockwindow.cpp", "C++", 4, 0, 0, 3, 7
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/SparqlBlock/sparqlblockwindow.h", "C++", 8, 0, 0, 4, 12
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/blockslibrary.cpp", "C++", 131, 0, 37, 15, 183
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramBlocks/blockslibrary.h", "C++", 31, 0, 3, 13, 47
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramItem/diagramitem.cpp", "C++", 103, 0, 2, 17, 122
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramItem/diagramitem.h", "C++", 36, 0, 49, 12, 97
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramItemSettings/diagramitemsettings.cpp", "C++", 30, 0, 0, 6, 36
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramItemSettings/diagramitemsettings.h", "C++", 17, 0, 0, 7, 24
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramScene/diagramscene.cpp", "C++", 5, 0, 0, 3, 8
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramScene/diagramscene.h", "C++", 15, 0, 0, 6, 21
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramWindows/projectwindow.cpp", "C++", 14, 0, 0, 4, 18
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramWindows/projectwindow.h", "C++", 18, 0, 0, 7, 25
"/home/grumpymonk/PSU/QT/SPARQL_v2.0/SPARQL/MainForm/mainwindow.cpp", "C++", 47, 0, 0, 17, 64
